neg,pos,neg,neg,neg,neg,19Oaxq5Rsvuh884eeZnHxbmtAlK41y2K_pp_pp.txt,2008,1
,,,,,,,,
neg,neg,neg,neg,neg,neg,1B4z9aq79le75DXRdUG959ocgvEQ0xZs_pp_pp.txt,2008,1
,,,,,,,,
pos,neg,neg,pos,pos,pos,1GR2dgcn23Lg678aevUF6msNIg4PS3pb_pp_pp.txt,2008,1
,,,,,,,,
pos,pos,pos,pos,pos,pos,22kNfA4nsQBSQJqB6WlqOVWoMwtTpIRz_pp_pp.txt,2008,1
,,,,,,,,
pos,pos,pos,pos,neg,pos,27EQFV4mvlxoIZYCFcdWaLvPJOqVCevI_pp_pp.txt,2008,1
,,,,,,,,
pos,pos,pos,pos,pos,pos,2og00sB1vKvhFsTrPmKdvJUsUEMNwJcs_pp_pp.txt,2008,1
,,,,,,,,
pos,pos,pos,pos,pos,pos,2qvQkM7xfqsdk0g1nfQJmyS4SYaze0pc_pp_pp.txt,2008,
,,,,,,,,
neg,neg,neg,neg,neg,neg,2wsHanmZ1uVSihGeyvp8ZUuvGAec99k7_pp_pp.txt,2008,1
,,,,,,,,
pos,pos,neg,pos,neg,pos,2yiTEJeTTenTjSUJqivv6CMn0I7rnaKO_pp_pp.txt,2008,1
,,,,,,,,
neg,neg,neg,neg,neg,neg,2zTkjTwNAjl9PI0OTE9WlVJFjeKKeRP6_pp_pp.txt,2008,1
,,,,,,,,
pos,neg,neg,pos,neg,neg,3a8ffrmQBZVrJxweDnfeR4OAQICcAyPF_pp_pp.txt,2008,1
,,,,,,,,
pos,pos,pos,pos,pos,pos,3HXbXWM0j4VteBTqrjYc5eb6u3vGMgft_pp_pp.txt,2008,1
,,,,,,,,
pos,pos,pos,pos,pos,pos,3S0Qx2UUDzBOwW0N3rQYUGputjdH2wEZ_pp_pp.txt,2008,1
,,,,,,,,
pos,pos,neg,pos,pos,pos,4cQO2hTHJJHDLZsXSr4amZBz1nwaChON_pp_pp.txt,2008,1
,,,,,,,,
neg,neg,neg,neg,neg,neg,4FQXS4GXu8HqBkHKwNKuMbjaqlIdQ0yX_pp_pp.txt,2008,1
,,,,,,,,
pos,pos,pos,pos,neg,pos,5dR17Ws22xlt3M0iyFYOJ2FNnTzbwiqF_pp_pp.txt,2008,1
,,,,,,,,
pos,pos,pos,pos,pos,pos,5Q1qoaw07228UxIo5pKXCjLl6607VnW8_pp_pp.txt,2008,1
,,,,,,,,
neg,neg,neg,neg,neg,neg,60wHIkD2UKZ0bs10bMWiJxUdzcjy9EnX_pp_pp.txt,2008,1
,,,,,,,,
pos,pos,pos,pos,pos,pos,66gSsr5UwC2n0Fnw72jqWdmX5qeEGnF7_pp_pp.txt,2008,1
,,,,,,,,
pos,neg,neg,pos,neg,neg,6E1jckKYqbk0JWVhEOCNSd1jCqYrTQBa_pp_pp.txt,2008,1
,,,,,,,,
pos,pos,pos,pos,neg,pos,6mpGh7oR9IYfOeLKaxn5FT1srUC0w7uB_pp_pp.txt,2008,1
,,,,,,,,
neg,neg,neg,neg,neg,neg,6TNuWyw82uNoK3UL0XerLWmECiOG46K9_pp_pp.txt,2008,1
,,,,,,,,
neg,neg,neg,neg,neg,neg,7A67SfuXFH8onSDMYwyr3EfDCim01apx_pp_pp.txt,2008,1
,,,,,,,,
pos,pos,pos,pos,pos,pos,7aYhesgOkJwFmldYA5rRQrqAkxUZwRzu_pp_pp.txt,2008,1
,,,,,,,,
pos,pos,pos,pos,pos,pos,7dcV1JcEqYAh6xajY9cJioQJMVNp9lt1_pp_pp.txt,2008,1
,,,,,,,,
neg,neg,neg,neg,neg,neg,7ealucEXK7qCxcuO6RyRoUqPVdW6Q6UU_pp_pp.txt,2008,1
,,,,,,,,
neg,neg,neg,neg,neg,neg,7gOskxDtfPx8D3NKQ7L2sKyeCI5wyBc9_pp_pp.txt,2008,1
,,,,,,,,
pos,pos,pos,pos,pos,pos,7m0xUwrJyNrf9dormCk6b2LR9URooKEB_pp_pp.txt,2008,1
,,,,,,,,
neg,neg,neg,neg,neg,neg,7oUHuq9CaQucTtpTtbZzPjLfcqpFwc8n_pp_pp.txt,2008,1
,,,,,,,,
neg,neg,neg,neg,neg,neg,7QIEdZNrguqwKlDQQZnAoCZhgNYXuEJi_pp_pp.txt,2008,1
,,,,,,,,
neg,neg,neg,neg,neg,neg,8lClkPBya9cehptyJOrrdX7snXfGkNmU_pp_pp.txt,2008,1
,,,,,,,,
neg,neg,neg,neg,neg,neg,8M0POvN8m9o86mPCSu9Xm4GbvhHl4JSG_pp_pp.txt,2008,1
,,,,,,,,
pos,pos,neg,pos,neg,pos,8Ua2SI8I4Wu5plngVf3oyR18qxvHJ5H8_pp_pp.txt,2008,1
,,,,,,,,
pos,pos,neg,pos,pos,pos,8UIuR7ZERvmWAT0NiOI4Jmv32KgHnYIY_pp_pp.txt,2008,1
,,,,,,,,
neg,neg,neg,neg,neg,neg,8W4N3uqjGmYEt8ucz3YECsBGzXZtK6fg_pp_pp.txt,2008,1
,,,,,,,,
pos,pos,pos,pos,pos,pos,8WeIDcAJEq2m86VpaI4H6HLeNmE6RN70_pp_pp.txt,2008,1
,,,,,,,,
pos,pos,pos,pos,pos,pos,8y1meOk9tRNlySrXjFuJrTAgnwAu0eeI_pp_pp.txt,2008,1
,,,,,,,,
neg,neg,neg,neg,neg,neg,990PbfMkzyJzV69weLeaKVZk7kNzxvTq_pp_pp.txt,2008,1
,,,,,,,,
pos,pos,pos,pos,neg,pos,9dio7gZ7oMwKhWiaGY6ZvmFXbrJ6Gk2D_pp_pp.txt,2008,1
,,,,,,,,
pos,pos,pos,pos,pos,pos,9soCloK0hqhF3oB2dSNyhZLdh6oNUDH3_pp_pp.txt,2008,1
,,,,,,,,
pos,pos,pos,pos,pos,pos,9t77wedBCE9b3lVhzoRBVnQVlsVwxGGN_pp_pp.txt,2008,1
,,,,,,,,
neg,neg,neg,neg,neg,neg,9ti4zEM2zeBXlLLHftkmJmyBuMCH2sk6_pp_pp.txt,2008,1
,,,,,,,,
pos,pos,neg,pos,neg,pos,9xPwYtDLo9rQ2uLan9n6dlcVwxohScK2_pp_pp.txt,2008,1
,,,,,,,,
pos,neg,neg,pos,neg,neg,a8tH8Gz996TqjG3EnvWCyoa6DrSWhDmy_pp_pp.txt,2008,1
,,,,,,,,
pos,pos,neg,pos,neg,pos,AE9UUzihj41QshWQolOzDkthx5jbss1M_pp_pp.txt,2008,1
,,,,,,,,
pos,pos,pos,pos,pos,pos,AHo7i9K8Ck1wqv8VjuMMEN2qlnWePaKu_pp_pp.txt,2008,1
,,,,,,,,
neg,neg,neg,neg,neg,neg,AmQIyUXyQhuwrovrqam2WRr6qMbSmBU6_pp_pp.txt,2008,1
,,,,,,,,
pos,pos,pos,pos,neg,pos,ARW7Pp7lEhv337Wr8bz44QnxVjGTuHHa_pp_pp.txt,2008,1
,,,,,,,,
pos,pos,pos,pos,neg,pos,aTFHk76I8zRFbK5DipwKEJRwTLxiAact_pp_pp.txt,2008,1
,,,,,,,,
neg,neg,neg,neg,neg,neg,b6jfh9QRcs8qJBhZkH4xDPzEVMNvUAUQ_pp_pp.txt,2008,1
,,,,,,,,
neg,neg,neg,neg,neg,neg,bg3SFVRMOHhvk3WMxDxhJ5j1dOaFvvsQ_pp_pp.txt,2008,1
,,,,,,,,
neg,neg,neg,neg,neg,neg,bke16eg0xbJQdowm6Me7kZBiYPKYNAXh_pp_pp.txt,2008,1
,,,,,,,,
neg,neg,neg,neg,neg,neg,bkUwG729oXfSenjBHM39ml8pA3NqKWiU_pp_pp.txt,2008,1
,,,,,,,,
neg,neg,neg,neg,neg,neg,bPwHZmFaQh2JA7wikbgWSD5sDQzQXbVN_pp_pp.txt,2008,1
,,,,,,,,
pos,pos,pos,pos,pos,pos,C6Mp5tzpPsRURq6HGlk3d8uDBY3oCLfI_pp_pp.txt,2008,1
,,,,,,,,
neg,neg,neg,neg,neg,neg,C6vNAQq7MxWASkEZlWJ1Bdynos65WPPI_pp_pp.txt,2008,1
