17,14,12,17,14,16,2011,07,pos
8,11,13,8,11,9,2011,07,neg
0,0,0,0,0,0,2011,08,pos
11,11,11,11,11,11,2011,08,neg
51,46,32,55,35,42,2011,09,pos
569,574,588,565,585,578,2011,09,neg
157,136,98,166,105,134,2011,10,pos
536,557,595,527,588,559,2011,10,neg
227,204,147,241,165,202,2011,11,pos
567,590,647,553,629,592,2011,11,neg
206,199,154,221,157,190,2011,12,pos
596,603,648,581,645,612,2011,12,neg
252,233,167,262,185,226,2012,01,pos
174,193,259,164,241,200,2012,01,neg
196,191,147,205,142,182,2012,02,pos
540,545,589,531,594,554,2012,02,neg
183,182,121,196,128,170,2012,03,pos
578,579,640,565,633,591,2012,03,neg
209,202,150,221,160,186,2012,04,pos
554,561,613,542,603,577,2012,04,neg
247,233,173,252,175,228,2012,05,pos
684,698,758,679,756,703,2012,05,neg
209,194,136,217,155,189,2012,06,pos
635,650,708,627,689,655,2012,06,neg
211,196,148,225,160,195,2012,07,pos
699,714,762,685,750,715,2012,07,neg
220,193,158,234,159,194,2012,08,pos
556,583,618,542,617,582,2012,08,neg
179,161,124,185,125,157,2012,09,pos
503,521,558,497,557,525,2012,09,neg
183,171,144,189,144,168,2012,10,pos
368,380,407,362,407,383,2012,10,neg
200,194,154,202,157,190,2012,11,pos
363,369,409,361,406,373,2012,11,neg
211,198,159,217,173,193,2012,12,pos
486,499,538,480,524,504,2012,12,neg
172,158,117,176,126,149,2013,01,pos
478,492,533,474,524,501,2013,01,neg
208,197,153,216,159,186,2013,02,pos
501,512,556,493,550,523,2013,02,neg
206,192,142,214,156,192,2013,03,pos
628,642,692,620,678,642,2013,03,neg
232,201,141,248,163,196,2013,04,pos
659,690,750,643,728,695,2013,04,neg
263,238,180,274,190,237,2013,05,pos
702,727,785,691,775,728,2013,05,neg
207,195,139,219,153,188,2013,06,pos
670,682,738,658,724,689,2013,06,neg
176,164,121,179,135,157,2013,07,pos
564,576,619,561,605,583,2013,07,neg
225,200,151,242,170,195,2013,08,pos
584,609,658,567,639,614,2013,08,neg
184,170,121,197,133,169,2013,09,pos
546,560,609,533,597,561,2013,09,neg
158,134,94,173,109,131,2013,10,pos
521,545,585,506,570,548,2013,10,neg
166,149,118,177,126,139,2013,11,pos
513,530,561,502,553,540,2013,11,neg
164,142,108,172,112,136,2013,12,pos
556,578,612,548,608,584,2013,12,neg
186,158,120,198,134,159,2014,01,pos
596,624,662,584,648,623,2014,01,neg
164,139,103,171,122,142,2014,02,pos
462,487,523,455,504,484,2014,02,neg
127,109,85,137,86,106,2014,03,pos
371,389,413,361,412,392,2014,03,neg
159,142,103,162,114,140,2014,04,pos
515,532,571,512,560,534,2014,04,neg
145,126,97,152,108,129,2014,05,pos
470,489,518,463,507,486,2014,05,neg
145,133,97,151,109,130,2014,06,pos
635,647,683,629,671,650,2014,06,neg
121,107,71,125,80,104,2014,07,pos
497,511,547,493,538,514,2014,07,neg
133,116,90,136,102,120,2014,08,pos
528,545,571,525,559,541,2014,08,neg
150,131,95,159,110,135,2014,09,pos
553,572,608,544,593,568,2014,09,neg
137,122,84,142,90,119,2014,10,pos
674,689,727,669,721,692,2014,10,neg
126,111,85,140,88,110,2014,11,pos
513,528,554,499,551,529,2014,11,neg
112,102,71,118,79,97,2014,12,pos
607,617,648,601,640,622,2014,12,neg
184,170,137,192,137,161,2015,01,pos
582,596,629,574,629,605,2015,01,neg
153,135,97,164,98,128,2015,02,pos
574,592,630,563,629,599,2015,02,neg
186,159,117,196,126,161,2015,03,pos
676,703,745,666,736,701,2015,03,neg
208,190,143,220,157,187,2015,04,pos
695,713,760,683,746,716,2015,04,neg
203,179,132,214,156,182,2015,05,pos
644,668,715,633,691,665,2015,05,neg
156,130,90,165,100,127,2015,06,pos
774,800,840,765,830,803,2015,06,neg
234,211,156,247,171,206,2015,07,pos
754,777,832,741,817,782,2015,07,neg
216,202,148,226,152,192,2015,08,pos
729,743,797,719,793,753,2015,08,neg
182,164,127,196,130,163,2015,09,pos
650,668,705,636,702,669,2015,09,neg
175,158,120,183,119,155,2015,10,pos
638,655,693,630,694,658,2015,10,neg
146,125,94,153,102,129,2015,11,pos
479,500,531,472,523,496,2015,11,neg
187,163,111,194,133,158,2015,12,pos
604,628,680,597,658,633,2015,12,neg
177,149,111,189,114,147,2016,01,pos
470,498,536,458,533,500,2016,01,neg
